"country","ID0","lon","lat","pop","ISO3","ADMIN","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC","include"
"Mauritius",143,57.4655234887885,-20.2329953711372,1309439,"MUS","Mauritius","Africa","Africa","Africa","Western Indian Ocean","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Asia, Southeast",24,"Southern and East Africa","other","SID","other",TRUE
"Malawi",135,34.1097298956415,-14.2668825896639,17917459,"MWI","Malawi","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC",TRUE
"Namibia",155,16.4333333333333,-18.2270014169323,2215333,"NAM","Namibia","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","other",TRUE
"Niger",162,5.25693357876975,13.7888920879577,18038323,"NER","Niger","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","LLDC",TRUE
"Nigeria",163,5.11239569961489,7.8475815966012,191987874,"NGA","Nigeria","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other",TRUE
"Rwanda",189,30.0950989527866,-1.96562973070567,12679279,"RWA","Rwanda","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC",TRUE
"Sudan",218,32.8966165413534,14.0730966810131,36048385,"SDN","Sudan","Africa","Africa","Africa","North Africa","Eastern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","Sub-Saharan Africa, East",22,"North Africa","LDC","other","other",TRUE
"Senegal",201,-17.4403971779462,14.7297403171859,13769839,"SEN","Senegal","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other",TRUE
"Saint Helena",192,-5.71979949874688,-15.94098407281,7787,"SHN","Saint Helena","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","other",TRUE
"Sierra Leone",204,-13.1914086012432,8.46382599648521,5831477,"SLE","Sierra Leone","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other",TRUE
"Somalia",210,44.4125,3.75261932339173,10406830,"SOM","Somalia","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other",TRUE
"South Sudan",214,27.996452402816,7.68387382730231,12264189,"SSD","South Sudan","Africa","Africa","Africa","North Africa","Eastern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","Sub-Saharan Africa, East",22,"North Africa","LDC","other","other",TRUE
"São Tomé and Príncipe",199,6.73209640938649,0.331840768346495,164202,"STP","Sao Tome and Principe","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","SID","other",TRUE
"Swaziland",221,31.3771708683473,-26.4959665496418,1436056,"SWZ","Swaziland","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","LLDC",TRUE
"Seychelles",203,55.4525317113745,-4.62989969135803,78287,"SYC","Seychelles","Africa","Africa","Africa","Western Indian Ocean","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Asia, Southeast",24,"Southern and East Africa","other","SID","other",TRUE
"Chad",47,17.2180041152263,11.71808897384,11661717,"TCD","Chad","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","LLDC",TRUE
"Togo",230,0.80084025306445,7.27816788551823,7172289,"TGO","Togo","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other",TRUE
"Tunisia",234,10.5498957976476,35.8673371050901,10776762,"TUN","Tunisia","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other",TRUE
"Tanzania",227,38.6073232323232,-5.08794652354199,50809985,"TZA","United Republic of Tanzania","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other",TRUE
"Uganda",239,32.8925614345805,0.703486363870695,37050995,"UGA","Uganda","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC",TRUE
"South Africa",211,28.6866666666667,-27.4697275376495,53344438,"ZAF","South Africa","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",5,"South Africa","other","other","other",TRUE
"Zambia",255,31.6744897959184,-13.8428222466305,15076505,"ZMB","Zambia","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC",TRUE
"Zimbabwe",256,29.970390070922,-18.3222748105668,14223130,"ZWE","Zimbabwe","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","LLDC",TRUE
