country,id,lon,lat,pop
Guinea,97,-12.0425438596491,10.212561251801517,11599310
Liberia,127,-10.784315004262595,6.366725649967194,4115434
Sierra Leone,204,-13.19140860124324,8.4638259964852125,5831477
